Project_ID,Project_Name,Category,Budget,Status,Completion_Percentage,Lab_Location,Start_date,Risk_Level,Priority
DRDO-101,Agni-P Missile,Missiles,4500,Testing,0.85,Balasore,12/1/2021,High,Strategic
DRDO-102,LCA Tejas Mk2,Aeronautics,12500,Ongoing,0.4,Bangalore,15-03-2022,High,Strategic
DRDO-103,Pinaka ER,Armaments,1200,Completed,1,Pune,20-05-2020,Low,Tactical
DRDO-104,INS Arihant Upgrade,Naval,8500,Ongoing,0.55,Visakhapatnam,10/6/2021,High,Strategic
DRDO-105,Akash-NG,Missiles,3800,Testing,0.9,Hyderabad,22-08-2021,Medium,Tactical
DRDO-106,Zorawar LT,Armaments,5200,Ongoing,0.25,Ahmednagar,5/1/2023,High,Tactical
DRDO-107,Rustom-II UAV,Aeronautics,2100,Delayed,0.65,Bangalore,14-02-2020,High,Strategic
DRDO-108,Varunastra Torpedo,Naval,1500,Completed,1,Kochi,30-11-2019,Low,Tactical
DRDO-109,BrahMos NG,Missiles,6000,Ongoing,0.3,Hyderabad,18-04-2022,High,Strategic
DRDO-110,Rudram-III,Missiles,2800,Testing,0.75,Balasore,12/7/2022,Medium,Strategic
DRDO-111,Tapas BH-201,Aeronautics,1800,Ongoing,0.8,Bangalore,9/9/2021,Medium,Tactical
DRDO-112,WhAP 8x8 Vehicle,Armaments,950,Completed,1,Pune,15-01-2020,Low,Support
DRDO-113,SMART System,Naval,2400,Testing,0.7,Balasore,25-03-2023,Medium,Tactical
DRDO-114,Pralay Missile,Missiles,3300,Ongoing,0.45,Hyderabad,11/11/2022,High,Strategic
DRDO-115,AMCA Stealth Fighter,Aeronautics,15000,Ongoing,0.15,Bangalore,1/1/2024,High,Strategic
DRDO-116,Maareech ATDS,Naval,600,Completed,1,Kochi,12/5/2020,Low,Support
DRDO-117,Nirbhay SLCM,Missiles,4100,Delayed,0.5,Balasore,10/8/2021,High,Tactical
DRDO-118,ATAGS Howitzer,Armaments,3200,Testing,0.95,Pune,14-02-2021,Medium,Tactical
DRDO-119,Netra AEW&C,Aeronautics,7500,Completed,1,Bangalore,5/6/2019,Low,Strategic
DRDO-120,Shaurya Missile,Missiles,2900,Ongoing,0.6,Hyderabad,21-03-2022,Medium,Strategic
DRDO-121,Helina Anti-Tank,Missiles,850,Testing,0.88,Jodhpur,19-09-2022,Medium,Tactical
DRDO-122,Abhyas HEAT,Aeronautics,450,Completed,1,Balasore,30-10-2020,Low,Support
DRDO-123,Arjun Mk-1A,Armaments,6600,Ongoing,0.75,Ahmednagar,12/1/2022,High,Tactical
DRDO-124,Daksh Robot,Electronics,200,Completed,1,Pune,5/5/2020,Low,Support
DRDO-125,Uttam AESA Radar,Electronics,1400,Testing,0.82,Bangalore,14-07-2022,Medium,Tactical
DRDO-126,Astra Mk-2,Missiles,2700,Ongoing,0.35,Hyderabad,20-11-2023,High,Strategic
DRDO-127,Mareech Decoy,Naval,350,Completed,1,Kochi,10/2/2021,Low,Support
DRDO-128,Ghatak UCAV,Aeronautics,9000,Ongoing,0.2,Bangalore,15-05-2023,High,Strategic
DRDO-129,K-4 SLBM,Missiles,5500,Testing,0.92,Visakhapatnam,1/9/2021,High,Strategic
DRDO-130,Prahaar Missile,Missiles,1800,Completed,1,Balasore,12/3/2020,Low,Tactical
DRDO-131,QRSAM System,Missiles,4200,Testing,0.8,Chandipur,14-06-2022,Medium,Tactical
DRDO-132,VL-SRSAM,Naval,2100,Ongoing,0.65,Hyderabad,18-08-2022,Medium,Tactical
DRDO-133,SWiFT Stealth,Aeronautics,3000,Testing,0.7,Bangalore,25-10-2022,High,Strategic
DRDO-134,MPATGM,Armaments,750,Completed,1,Ahmednagar,12/2/2021,Low,Tactical
DRDO-135,Nag Missile,Missiles,1100,Completed,1,Hyderabad,5/5/2020,Low,Tactical
DRDO-136,AD-1 Interceptor,Missiles,7200,Testing,0.85,Balasore,15-01-2023,High,Strategic
DRDO-137,XRSAM Project,Missiles,9500,Ongoing,0.1,Hyderabad,10/3/2024,High,Strategic
DRDO-138,SAAW Bomb,Armaments,500,Completed,1,Bangalore,20-09-2021,Low,Support
DRDO-139,Ushas Sonar,Naval,1300,Ongoing,0.45,Kochi,12/4/2022,Medium,Support
DRDO-140,Himshakti EW,Electronics,2600,Testing,0.75,Dehradun,22-07-2022,Medium,Tactical
DRDO-141,Arudhra Radar,Electronics,1900,Completed,1,Bangalore,15-08-2020,Low,Support
DRDO-142,Agni-VI,Missiles,11000,Ongoing,0.25,Hyderabad,10/2/2024,High,Strategic
DRDO-143,LCA Navy Mk2,Aeronautics,8000,Delayed,0.35,Bangalore,14-11-2021,High,Strategic
DRDO-144,Takshak Missile,Missiles,4400,Ongoing,0.15,Hyderabad,1/1/2024,High,Strategic
